2021-07-27 01:55:49,909 INFO    Thread-4956:15195 [wandb_setup.py:_flush():69] setting env: {'project': 'tess', 'entity': 'parsellsx', 'root_dir': '/home/parsellsx/berkeley-seti', 'run_id': '3eh1h1kg', 'sweep_param_path': '/home/parsellsx/berkeley-seti/wandb/sweep-hi03tv69/config-3eh1h1kg.yaml', 'sweep_id': 'hi03tv69'}
2021-07-27 01:55:49,910 INFO    Thread-4956:15195 [wandb_setup.py:_flush():69] setting login settings: {}
2021-07-27 01:55:49,910 INFO    Thread-4956:15195 [wandb_init.py:_log_setup():337] Logging user logs to /home/parsellsx/berkeley-seti/wandb/run-20210727_015549-3eh1h1kg/logs/debug.log
2021-07-27 01:55:49,910 INFO    Thread-4956:15195 [wandb_init.py:_log_setup():338] Logging internal logs to /home/parsellsx/berkeley-seti/wandb/run-20210727_015549-3eh1h1kg/logs/debug-internal.log
2021-07-27 01:55:49,910 INFO    Thread-4956:15195 [wandb_init.py:_jupyter_setup():288] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fa3622f1d50>
2021-07-27 01:55:49,911 INFO    Thread-4956:15195 [wandb_init.py:init():370] calling init triggers
2021-07-27 01:55:49,911 INFO    Thread-4956:15195 [wandb_init.py:init():377] wandb.init called with sweep_config: {'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 50, 'n_estimators': 1, 'n_jobs': -1, 'random_state': 42}
config: {}
2021-07-27 01:55:49,911 INFO    Thread-4956:15195 [wandb_init.py:init():419] starting backend
2021-07-27 01:55:49,911 INFO    Thread-4956:15195 [backend.py:_multiprocessing_setup():72] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-07-27 01:55:49,913 INFO    Thread-4956:15195 [backend.py:ensure_launched():135] starting backend process...
2021-07-27 01:55:49,935 INFO    Thread-4956:15195 [backend.py:ensure_launched():140] started backend process with pid: 29814
2021-07-27 01:55:49,940 INFO    Thread-4956:15195 [wandb_init.py:init():424] backend started and connected
2021-07-27 01:55:49,968 INFO    Thread-4956:15195 [wandb_run.py:_config_callback():872] config_cb None None {'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 50, 'n_estimators': 1, 'n_jobs': -1, 'random_state': 42}
2021-07-27 01:55:49,968 INFO    Thread-4956:15195 [wandb_run.py:_label_probe_notebook():844] probe notebook
2021-07-27 01:55:49,969 INFO    Thread-4956:15195 [wandb_run.py:_label_probe_notebook():851] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2021-07-27 01:55:49,969 INFO    Thread-4956:15195 [wandb_init.py:init():472] updated telemetry
2021-07-27 01:55:49,969 INFO    Thread-4956:15195 [wandb_init.py:init():491] communicating current version
2021-07-27 01:55:50,592 INFO    Thread-4956:15195 [wandb_init.py:init():496] got version response 
2021-07-27 01:55:50,592 INFO    Thread-4956:15195 [wandb_init.py:init():504] communicating run to backend with 30 second timeout
2021-07-27 01:55:50,699 INFO    Thread-4956:15195 [wandb_init.py:init():529] starting run threads in backend
2021-07-27 01:55:55,709 INFO    Thread-4956:15195 [wandb_run.py:_console_start():1623] atexit reg
2021-07-27 01:55:55,709 INFO    Thread-4956:15195 [wandb_run.py:_redirect():1497] redirect: SettingsConsole.WRAP
2021-07-27 01:55:55,709 INFO    Thread-4956:15195 [wandb_run.py:_redirect():1534] Wrapping output streams.
2021-07-27 01:55:55,710 INFO    Thread-4956:15195 [wandb_run.py:_redirect():1558] Redirects installed.
2021-07-27 01:55:55,710 INFO    Thread-4956:15195 [wandb_init.py:init():554] run started, returning control to user process
2021-07-27 01:55:55,915 INFO    Thread-4956:15195 [wandb_run.py:finish():1293] finishing run parsellsx/tess/3eh1h1kg
